index,valorFusivel,tipoCurto,I_A_Isolador,Tempo_A_Isolador,I_B_Isolador,Tempo_B_Isolador,I_C_Isolador,Tempo_C_Isolador,I_A1_Isolador,Tempo_A1_Isolador,I_B1_Isolador,Tempo_B1_Isolador,I_A_Consumidor,Tempo_A_Consumidor,I_B_Consumidor,Tempo_B_Consumidor
1,1,1,14.7203,1.71142,14.7203,1.71142,14.7203,1.71142,14.8664,1.67211,14.529,1.765,0,Inf,0,Inf
2,1,2,0,Inf,0,Inf,0,Inf,13.2716,2.18847,0,Inf,0,Inf,0,Inf
3,1,3,0,Inf,0,Inf,0,Inf,0,Inf,13.092,2.26109,0,Inf,0,Inf
4,1,4,14.7203,1.71142,14.7203,1.71142,14.7203,1.71142,13.291,2.18083,13.3829,2.14517,0,Inf,0,Inf
5,1,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
6,2,1,23.1022,0.608819,23.1022,0.608819,23.1022,0.608819,23.4336,0.589655,22.4506,0.649287,0,Inf,0,Inf
7,2,2,14.437,1.79164,14.437,1.79164,14.437,1.79164,20.492,0.79799,0,Inf,0,Inf,0,Inf
8,2,3,13.2857,2.18293,13.2857,2.18293,13.2857,2.18293,0,Inf,19.7577,0.866928,0,Inf,0,Inf
9,2,4,23.1023,0.608819,23.1023,0.608819,23.1023,0.608819,20.3124,0.814079,20.7893,0.772362,0,Inf,0,Inf
10,2,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
11,3,1,26.9001,1.24481,26.9001,1.24481,26.9001,1.24481,27.3112,0.418803,26.0339,0.465958,0,Inf,0,Inf
12,3,2,16.4022,3.50251,16.4022,3.50251,16.4022,3.50251,23.7311,0.5732,0,Inf,0,Inf,0,Inf
13,3,3,14.8326,4.35337,14.8326,4.35337,14.8326,4.35337,0,Inf,22.7213,0.632008,0,Inf,0,Inf
14,3,4,26.9001,1.24482,26.9001,1.24482,26.9001,1.24482,23.4738,0.587388,24.1439,0.551464,0,Inf,0,Inf
15,3,5,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf,0,Inf
16,4,1,15.9314,3.72853,15.9314,3.72853,15.9314,3.72853,15.9682,3.71007,15.9254,3.73154,15.9668,3.71073,15.9241,3.73222
17,4,2,15.9316,3.72843,15.9316,3.72843,15.9316,3.72843,15.9685,3.70992,15.9252,3.73165,15.9666,3.71085,15.9244,3.73206
18,4,3,15.9309,3.72877,15.9309,3.72877,15.9309,3.72877,15.9679,3.71018,15.925,3.73173,15.9671,3.71058,15.9245,3.73202
19,4,4,15.9314,3.72853,15.9314,3.72853,15.9314,3.72853,15.9678,3.71027,15.9257,3.7314,15.9672,3.71053,15.9238,3.73234
20,4,5,15.9311,3.72866,15.9311,3.72866,15.9311,3.72866,15.9679,3.71021,15.9251,3.73168,15.9672,3.71054,15.9245,3.73202
21,5,1,20.7447,2.13448,20.7447,2.13448,20.7447,2.13448,20.7909,2.12459,20.7401,2.13547,20.7898,2.12484,20.7389,2.13572
22,5,2,20.7449,2.13444,20.7449,2.13444,20.7449,2.13444,20.7912,2.12455,20.7399,2.1355,20.7896,2.12489,20.7392,2.13565
23,5,3,20.7443,2.13455,20.7443,2.13455,20.7443,2.13455,20.7908,2.12463,20.7398,2.13553,20.7901,2.12477,20.7393,2.13563
24,5,4,20.7447,2.13448,20.7447,2.13448,20.7447,2.13448,20.7906,2.12466,20.7403,2.13542,20.7902,2.12476,20.7387,2.13577
25,5,5,20.7445,2.13451,20.7445,2.13451,20.7445,2.13451,20.7908,2.12463,20.7399,2.13551,20.7902,2.12476,20.7393,2.13563
26,6,1,21.6526,1.9524,21.6526,1.9524,21.6526,1.9524,21.7004,1.94347,21.6487,1.95313,21.6991,1.9437,21.6474,1.95336
27,6,2,21.6527,1.95237,21.6527,1.95237,21.6527,1.95237,21.7006,1.94343,21.6485,1.95316,21.6989,1.94374,21.6478,1.9533
28,6,3,21.6522,1.95248,21.6522,1.95248,21.6522,1.95248,21.7002,1.9435,21.6484,1.95319,21.6995,1.94364,21.6478,1.95329
29,6,4,21.6526,1.9524,21.6526,1.9524,21.6526,1.9524,21.7,1.94354,21.6489,1.95309,21.6995,1.94363,21.6472,1.95341
30,6,5,21.6524,1.95244,21.6524,1.95244,21.6524,1.95244,21.7002,1.94351,21.6485,1.95317,21.6996,1.94362,21.6479,1.95328
31,7,1,31.4376,Inf,31.4376,Inf,31.4376,Inf,31.5004,Inf,31.4432,Inf,31.4993,Inf,31.4421,Inf
32,7,2,31.4378,Inf,31.4378,Inf,31.4378,Inf,31.5006,Inf,31.4431,Inf,31.4991,Inf,31.4424,Inf
33,7,3,31.4374,Inf,31.4374,Inf,31.4374,Inf,31.5003,Inf,31.4429,Inf,31.4997,Inf,31.4424,Inf
34,7,4,31.4376,Inf,31.4376,Inf,31.4376,Inf,31.5001,Inf,31.4433,Inf,31.4997,Inf,31.4418,Inf
35,7,5,31.4376,Inf,31.4376,Inf,31.4376,Inf,31.5003,Inf,31.443,Inf,31.4997,Inf,31.4425,Inf
36,8,1,38.8408,0.558374,38.8408,0.558374,38.8408,0.558374,38.9108,0.555819,38.8586,0.557725,38.9098,0.555856,38.8575,0.557763
37,8,2,38.841,0.558368,38.841,0.558368,38.841,0.558368,38.911,0.555813,38.8585,0.557727,38.9096,0.555864,38.8579,0.55775
38,8,3,38.8406,0.558382,38.8406,0.558382,38.8406,0.558382,38.9108,0.555822,38.8584,0.557732,38.9102,0.555844,38.8579,0.557749
39,8,4,38.8408,0.558374,38.8408,0.558374,38.8408,0.558374,38.9106,0.555827,38.8587,0.557719,38.9102,0.555842,38.8573,0.55777
40,8,5,38.8408,0.558376,38.8408,0.558376,38.8408,0.558376,38.9108,0.555822,38.8585,0.557728,38.9103,0.555841,38.858,0.557747
41,9,1,42.112,0.45566,42.112,0.45566,42.112,0.45566,42.184,0.453732,42.1365,0.455002,42.183,0.453759,42.1355,0.455029
42,9,2,42.1122,0.455655,42.1122,0.455655,42.1122,0.455655,42.1842,0.453728,42.1365,0.455003,42.1828,0.453764,42.1359,0.455019
43,9,3,42.1118,0.455665,42.1118,0.455665,42.1118,0.455665,42.1839,0.453734,42.1364,0.455007,42.1833,0.45375,42.1359,0.455019
44,9,4,42.112,0.45566,42.112,0.45566,42.112,0.45566,42.1838,0.453738,42.1367,0.454998,42.1834,0.453749,42.1353,0.455034
45,9,5,42.112,0.455661,42.112,0.455661,42.112,0.455661,42.1839,0.453734,42.1365,0.455003,42.1834,0.453747,42.136,0.455017
46,10,1,50.5124,0.220991,50.5124,0.220991,50.5124,0.220991,50.5855,0.220617,50.5581,0.220757,50.5846,0.220621,50.5572,0.220761
47,10,2,50.5126,0.22099,50.5126,0.22099,50.5126,0.22099,50.5856,0.220616,50.5581,0.220757,50.5844,0.220622,50.5576,0.220759
48,10,3,50.5123,0.220992,50.5123,0.220992,50.5123,0.220992,50.5855,0.220617,50.558,0.220757,50.5849,0.22062,50.5576,0.220759
49,10,4,50.5124,0.220991,50.5124,0.220991,50.5124,0.220991,50.5853,0.220617,50.5583,0.220756,50.5849,0.220619,50.557,0.220762
50,10,5,50.5124,0.220991,50.5124,0.220991,50.5124,0.220991,50.5854,0.220617,50.5581,0.220757,50.585,0.220619,50.5576,0.220759
51,11,1,59.1609,0.404923,59.1609,0.404923,59.1609,0.404923,59.2286,0.404159,59.234,0.404097,59.2277,0.404169,59.2332,0.404107
52,11,2,59.161,0.404922,59.161,0.404922,59.161,0.404922,59.2287,0.404158,59.234,0.404098,59.2275,0.404171,59.2335,0.404103
53,11,3,59.1608,0.404925,59.1608,0.404925,59.1608,0.404925,59.2285,0.40416,59.2339,0.404099,59.228,0.404165,59.2335,0.404103
54,11,4,59.1609,0.404923,59.1609,0.404923,59.1609,0.404923,59.2284,0.404161,59.2341,0.404096,59.2281,0.404165,59.2331,0.404109
55,11,5,59.1609,0.404923,59.1609,0.404923,59.1609,0.404923,59.2285,0.40416,59.234,0.404097,59.2281,0.404164,59.2336,0.404102
56,12,1,62.6663,0.36957,62.6663,0.36957,62.6663,0.36957,62.7297,0.369002,62.7521,0.368801,62.7289,0.369009,62.7513,0.368808
57,12,2,62.6664,0.369569,62.6664,0.369569,62.6664,0.369569,62.7298,0.369001,62.7521,0.368801,62.7287,0.36901,62.7516,0.368805
58,12,3,62.6662,0.369571,62.6662,0.369571,62.6662,0.369571,62.7296,0.369002,62.752,0.368802,62.7292,0.369006,62.7516,0.368805
59,12,4,62.6663,0.36957,62.6663,0.36957,62.6663,0.36957,62.7295,0.369003,62.7521,0.3688,62.7292,0.369006,62.7511,0.368809
60,12,5,62.6663,0.36957,62.6663,0.36957,62.6663,0.36957,62.7296,0.369002,62.7521,0.368801,62.7292,0.369005,62.7517,0.368805
61,13,1,65.7457,0.564564,65.7457,0.564564,65.7457,0.564564,65.8043,0.563473,65.8433,0.562749,65.8035,0.563487,65.8425,0.562763
62,13,2,65.7458,0.564562,65.7458,0.564562,65.7458,0.564562,65.8044,0.563471,65.8433,0.562749,65.8034,0.56349,65.8428,0.562757
63,13,3,65.7457,0.564565,65.7457,0.564565,65.7457,0.564565,65.8043,0.563473,65.8432,0.56275,65.8038,0.563481,65.8428,0.562758
64,13,4,65.7457,0.564564,65.7457,0.564564,65.7457,0.564564,65.8042,0.563475,65.8434,0.562747,65.8039,0.563481,65.8424,0.562765
65,13,5,65.7458,0.564563,65.7458,0.564563,65.7458,0.564563,65.8043,0.563473,65.8433,0.562749,65.8039,0.56348,65.8429,0.562756
66,14,1,70.8873,0.847458,70.8873,0.847458,70.8873,0.847458,70.9356,0.845802,71.0059,0.843399,70.9349,0.845825,71.0052,0.843423
67,14,2,70.8874,0.847455,70.8874,0.847455,70.8874,0.847455,70.9357,0.845799,71.0059,0.843399,70.9347,0.845831,71.0055,0.843413
68,14,3,70.8872,0.84746,70.8872,0.84746,70.8872,0.84746,70.9356,0.845802,71.0059,0.843401,70.9351,0.845816,71.0055,0.843414
69,14,4,70.8873,0.847458,70.8873,0.847458,70.8873,0.847458,70.9355,0.845805,71.006,0.843397,70.9352,0.845815,71.0051,0.843427
70,14,5,70.8873,0.847457,70.8873,0.847457,70.8873,0.847457,70.9356,0.845802,71.0059,0.843398,70.9352,0.845814,71.0056,0.843411
